Title,Semester,Task,Week Number,Start (Mon),End (Fri),Calendar End (Sun),Duration (days),Status,Notes
Neuromorphic Computing Project,1,S1 W1: No meeting (setup & orientation),1,2025-09-29,2025-10-03,2025-10-05,7,Done,
Neuromorphic Computing Project,1,S1 W2: First meeting; discussed project,2,2025-10-06,2025-10-10,2025-10-12,7,Done,
Neuromorphic Computing Project,1,S1 W3: No progress (in San Francisco),3,2025-10-13,2025-10-17,2025-10-19,7,Done,
Neuromorphic Computing Project,1,S1 W4: No progress (in San Francisco),4,2025-10-20,2025-10-24,2025-10-26,7,Done,
Neuromorphic Computing Project,1,S1 W5: Aggregate research papers; pick 3 key meta-studies; discuss with supervisor,5,2025-10-27,2025-10-31,2025-11-02,7,In-Progress,
Neuromorphic Computing Project,1,"S1 W6: Reading Week (no classes): Plan MVP roadmap, milestones, pitfalls",6,2025-11-03,2025-11-07,2025-11-09,7,Planned,Reading week
Neuromorphic Computing Project,1,S1 W7: Start MVP implementation,7,2025-11-10,2025-11-14,2025-11-16,7,Planned,
Neuromorphic Computing Project,1,S1 W8: Continue MVP; set measurable goals pre-Christmas break,8,2025-11-17,2025-11-21,2025-11-23,7,Planned,
Neuromorphic Computing Project,1,S1 W9: Continue MVP; evaluate trajectory for Christmas,9,2025-11-24,2025-11-28,2025-11-30,7,Planned,
Neuromorphic Computing Project,1,S1 W10: MVP work; discuss results,10,2025-12-01,2025-12-05,2025-12-07,7,Planned,
Neuromorphic Computing Project,1,S1 W11: MVP work; discuss results; sketch Semester 2 timeline; plan Xmas workload,11,2025-12-08,2025-12-12,2025-12-14,7,Planned,
Neuromorphic Computing Project,1,S1 W12: Buffer period for catch-up and stabilization,12,2025-12-15,2025-12-19,2025-12-21,7,Planned,
